Entry,Gene Names,Protein families
C4ZRZ3,mdtG BWG_0901,"Major facilitator superfamily, DHA1 family, MdtG (TC 2.A.1.2.20) subfamily"
C4ZRZ5,trhO yceA BWG_0903,TrhO family
C4ZRZ9,solA BWG_0907,"MSOX/MTOX family, MTOX subfamily"
C4ZS05,mdtH BWG_0913,"Major facilitator superfamily, DHA1 family, MdtH (TC 2.A.1.2.21) subfamily"
C4ZS19,flgH BWG_0927,FlgH family
C4ZS20,flgI BWG_0928,FlgI family
C4ZS29,rpmF BWG_0937,Bacterial ribosomal protein bL32 family
C4ZS34,acpP BWG_0942,Acyl carrier protein (ACP) family
C4ZS38,tmk BWG_0946,Thymidylate kinase family
C4ZS46,thiK BWG_0954,Thiamine kinase family
C4ZS59,nagK BWG_0967,"ROK (NagC/XylR) family, NagK subfamily"
C4ZS72,hflD BWG_0980,HflD family
C4ZS77,iraM BWG_0985,IraM/RssC family
C4ZS93,minC BWG_1001,MinC family
C4ZSB0,hisC BWG_1812,"Class-II pyridoxal-phosphate-dependent aminotransferase family, Histidinol-phosphate aminotransferase subfamily"
C4ZSB3,hisA BWG_1815,HisA/HisF family
C4ZSG2,mdtA BWG_1864,Membrane fusion protein (MFP) (TC 8.A.1) family
C4ZSG3,mdtB BWG_1865,"Resistance-nodulation-cell division (RND) (TC 2.A.6) family, MdtB subfamily"
C4ZSG4,mdtC BWG_1866,"Resistance-nodulation-cell division (RND) (TC 2.A.6) family, MdtC subfamily"
C4ZSG5,mdtD BWG_1867,"Major facilitator superfamily, TCR/Tet family"
C4ZSH9,gatZ BWG_1881,"GatZ/KbaZ family, GatZ subfamily"
C4ZSP0,diaA BWG_2853,"SIS family, DiaA subfamily"
C4ZSQ6,rpsO BWG_2869,Universal ribosomal protein uS15 family
C4ZSQ8,rbfA BWG_2871,RbfA family
C4ZSR1,rimP yhbC BWG_2874,RimP family
C4ZSS4,rpmA BWG_2887,Bacterial ribosomal protein bL27 family
C4ZSS5,rplU BWG_2888,Bacterial ribosomal protein bL21 family
C4ZSU4,rapZ BWG_2907,"RapZ-like family, RapZ subfamily"
C4ZSW1,nanE BWG_2924,NanE family
C4ZSW2,nanT BWG_2925,"Major facilitator superfamily, Sialate:H(+) symporter (SHS) (TC 2.A.1.12) family"
C4ZSW4,nanR BWG_2927,NanR family
C4ZSW8,rpsI BWG_2931,Universal ribosomal protein uS9 family
C4ZSW9,rplM BWG_2932,Universal ribosomal protein uL13 family
C4ZSX4,mdh BWG_2937,"LDH/MDH superfamily, MDH type 1 family"
C4ZSX5,argR BWG_2938,ArgR family
C4ZSX8,aaeB BWG_2941,Aromatic acid exporter ArAE (TC 2.A.85) family
C4ZSX9,aaeA BWG_2942,Membrane fusion protein (MFP) (TC 8.A.1) family
C4ZSZ5,prmA BWG_2958,"Methyltransferase superfamily, PrmA family"
C4ZSZ7,fis BWG_2960,Transcriptional regulatory Fis family
C4ZT10,uxuA BWG_4020,Mannonate dehydratase family
C4ZT14,iraD BWG_4024,"GpW/Gp25 family, IraD subfamily"
C4ZT19,kptA BWG_4029,KptA/TPT1 family
C4ZT30,symE BWG_4040,SymE family
C4ZT42,mdoB opgB BWG_4052,OpgB family
C4ZT45,dnaT BWG_4055,DnaT family
C4ZT46,yjjB BWG_4056,ThrE exporter (TC 2.A.79) family
C4ZT56,prfC BWG_4066,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, PrfC subfamily"
C4ZT75,trpR BWG_4085,TrpR family
C4ZT96,frsA BWG_0221,FrsA family
C4ZT97,crl BWG_0222,Crl family
C4ZTA0,proA BWG_0225,Gamma-glutamyl phosphate reductase family
C4ZTE1,iraP BWG_0266,IraP family
C4ZTF1,rdgC BWG_0276,RdgC family
C4ZTG1,acpH BWG_0286,AcpH family
C4ZTG2,queA BWG_0287,QueA family
C4ZTH0,nrdR BWG_0295,NrdR family
C4ZTH3,nusB BWG_0298,NusB family
C4ZTH9,xseB BWG_0304,XseB family
C4ZTK3,cof BWG_0328,"HAD-like hydrolase superfamily, Cof family"
C4ZTM7,nhaB BWG_1011,NhaB Na(+)/H(+) (TC 2.A.34) antiporter family
C4ZTM8,fadR BWG_1012,
C4ZTN0,dadA BWG_1014,DadA oxidoreductase family
C4ZTN2,nhaP2 cvrA BWG_1016,"Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family, NhaP2 subfamily"
C4ZTQ0,lolB BWG_1034,LolB family
C4ZTQ2,prfA BWG_1036,Prokaryotic/mitochondrial release factor family
C4ZTQ6,kdsA BWG_1040,KdsA family
C4ZTU1,clsA cls BWG_1077,"Phospholipase D family, Cardiolipin synthase subfamily, ClsA sub-subfamily"
C4ZTU7,yciB BWG_1083,YciB family
C4ZTV3,trpA BWG_1089,TrpA family
C4ZTY2,rnb BWG_1118,"RNR ribonuclease family, RNase II subfamily"
C4ZU30,rplY BWG_1961,Bacterial ribosomal protein bL25 family
C4ZU31,yejK BWG_1962,YejK family
C4ZU52,eco BWG_1983,Protease inhibitor I11 (ecotin) family
C4ZU53,mqo BWG_1984,MQO family
C4ZU83,glpB BWG_2014,Anaerobic G-3-P dehydrogenase subunit B family
C4ZU94,ais BWG_2025,"Phosphoglycerate mutase family, Ais subfamily"
C4ZUA6,menH BWG_2037,"AB hydrolase superfamily, MenH family"
C4ZUB1,rbn rnz BWG_2042,"RNase Z family, RNase BN subfamily"
C4ZUE1,def BWG_2977,Polypeptide deformylase family
C4ZUE2,fmt BWG_2978,Fmt family
C4ZUE5,mscL BWG_2981,MscL family
C4ZUE9,rplQ BWG_2985,Bacterial ribosomal protein bL17 family
C4ZUF1,rpsD BWG_2987,Universal ribosomal protein uS4 family
C4ZUF2,rpsK BWG_2988,Universal ribosomal protein uS11 family
C4ZUF4,rpmJ BWG_2990,Bacterial ribosomal protein bL36 family
C4ZUF6,rplO BWG_2992,Universal ribosomal protein uL15 family
C4ZUF7,rpmD BWG_2993,Universal ribosomal protein uL30 family
C4ZUF9,rplR BWG_2995,Universal ribosomal protein uL18 family
C4ZUG0,rplF BWG_2996,Universal ribosomal protein uL6 family
C4ZUG1,rpsH BWG_2997,Universal ribosomal protein uS8 family
C4ZUG3,rplE BWG_2999,Universal ribosomal protein uL5 family
C4ZUG4,rplX BWG_3000,Universal ribosomal protein uL24 family
C4ZUG5,rplN BWG_3001,Universal ribosomal protein uL14 family
C4ZUG6,rpsQ BWG_3002,Universal ribosomal protein uS17 family
C4ZUG7,rpmC BWG_3003,Universal ribosomal protein uL29 family
C4ZUG8,rplP BWG_3004,Universal ribosomal protein uL16 family
C4ZUG9,rpsC BWG_3005,Universal ribosomal protein uS3 family
C4ZUH0,rplV BWG_3006,Universal ribosomal protein uL22 family
C4ZUH1,rpsS BWG_3007,Universal ribosomal protein uS19 family
C4ZUH4,rplD BWG_3010,Universal ribosomal protein uL4 family
C4ZUH5,rplC BWG_3011,Universal ribosomal protein uL3 family
C4ZUH6,rpsJ BWG_3012,Universal ribosomal protein uS10 family
C4ZUJ5,fusA BWG_3031,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily"
C4ZUJ6,rpsG BWG_3032,Universal ribosomal protein uS7 family
C4ZUJ7,rpsL BWG_3033,Universal ribosomal protein uS12 family
C4ZUJ8,tusB BWG_3034,DsrH/TusB family
C4ZUJ9,tusC BWG_3035,DsrF/TusC family
C4ZUK0,tusD BWG_3036,DsrE/TusD family
C4ZUK6,kefB BWG_3042,"Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family, KefB subfamily"
C4ZUM0,tsgA BWG_3056,"Major facilitator superfamily, TsgA family"
C4ZUQ6,hslO BWG_3092,HSP33 family
C4ZUR5,feoC BWG_3101,FeoC family
C4ZUS5,ybaB BWG_0352,YbaB/EbfC family
C4ZUS6,recR BWG_0353,RecR family
C4ZUT0,aes BWG_0357,'GDXG' lipolytic enzyme family
C4ZUV5,allA BWG_0382,Ureidoglycolate lyase family
C4ZUX4,cysS BWG_0401,Class-I aminoacyl-tRNA synthetase family
C4ZV25,ybdK BWG_0452,"Glutamate--cysteine ligase type 2 family, YbdK subfamily"
C4ZV37,entS BWG_0464,"Major facilitator superfamily, EntS (TC 2.A.1.38) family"
C4ZV90,zntB BWG_1176,CorA metal ion transporter (MIT) (TC 1.A.35) family
C4ZVG4,mdoD opgD BWG_1250,OpgD/OpgG family
C4ZVM4,smrB BWG_2105,SmrB family
C4ZVQ3,dsdA BWG_2134,"Serine/threonine dehydratase family, DsdA subfamily"
C4ZVR1,frc BWG_2142,"CoA-transferase III family, Frc subfamily"
C4ZVS5,glk BWG_2156,Bacterial glucokinase family
C4ZVS6,yfeO BWG_2157,Chloride channel (TC 2.A.49) family
C4ZVS8,mntH BWG_2159,NRAMP family
C4ZVU3,zipA BWG_2174,ZipA family
C4ZVU4,cysZ BWG_2175,CysZ family
C4ZVW3,nfuA BWG_3105,NfuA family
C4ZVX1,rtcA BWG_3113,"RNA 3'-terminal cyclase family, Type 1 subfamily"
C4ZVX5,glpG BWG_3117,Peptidase S54 family
C4ZVX6,glpE BWG_3118,GlpE family
C4ZVX9,glgA BWG_3121,"Glycosyltransferase 1 family, Bacterial/plant glycogen synthase subfamily"
C4ZW19,tusA BWG_3161,Sulfur carrier protein TusA family
C4ZW30,nikR BWG_3172,Transcriptional regulatory CopG/NikR family
C4ZW44,rsmJ yhiQ BWG_3186,"Methyltransferase superfamily, RsmJ family"
C4ZW75,dctA BWG_3217,Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
C4ZWA2,citG BWG_0486,CitG/MdcB family
C4ZWA3,citX BWG_0487,CitX family
C4ZWA6,citD BWG_0490,CitD family
C4ZWB3,fluC crcB BWG_0497,Fluoride channel Fluc/FEX (TC 1.A.43) family
C4ZWC3,rlmH BWG_0507,RNA methyltransferase RlmH family
C4ZWC9,leuS BWG_0513,Class-I aminoacyl-tRNA synthetase family
C4ZWD8,rihA BWG_0522,"IUNH family, RihA subfamily"
C4ZWE6,ybeY BWG_0530,Endoribonuclease YbeY family
C4ZWH2,kdpC BWG_0556,KdpC family
C4ZWH4,kdpA BWG_0558,KdpA family
C4ZWI8,pxpA BWG_0572,LamB/PxpA family
C4ZWL5,tolB BWG_0599,TolB family
C4ZWN2,pptA BWG_1284,"4-oxalocrotonate tautomerase family, PptA subfamily"
C4ZWT6,tam BWG_1338,"Methyltransferase superfamily, Tam family"
C4ZWT8,uxaB BWG_1340,"Mannitol dehydrogenase family, UxaB subfamily"
C4ZWU5,sotB BWG_1347,"Major facilitator superfamily, SotB (TC 2.A.1.2) family"
C4ZWZ4,ynfA BWG_1396,UPF0060 family
C4ZWZ7,ynfC BWG_1399,UPF0257 family
C4ZX47,ypfN BWG_2236,UPF0370 family
C4ZX51,purC BWG_2240,SAICAR synthetase family
C4ZX71,hda BWG_2260,"DnaA family, HdA subfamily"
C4ZX84,xseA BWG_2273,XseA family
C4ZX86,der engA BWG_2275,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, EngA (Der) GTPase family"
C4ZX89,hisS BWG_2278,Class-II aminoacyl-tRNA synthetase family
C4ZXA1,hscA BWG_2290,Heat shock protein 70 family
C4ZXA2,hscB BWG_2291,HscB family
C4ZXA3,iscA BWG_2292,HesB/IscA family
C4ZXA6,iscR BWG_2295,
C4ZXB4,hcaF BWG_2303,Bacterial ring-hydroxylating dioxygenase beta subunit family
C4ZXE9,glyS BWG_3248,Class-II aminoacyl-tRNA synthetase family
C4ZXF0,glyQ BWG_3249,Class-II aminoacyl-tRNA synthetase family
C4ZXF6,xylA BWG_3255,Xylose isomerase family
C4ZXJ1,mtlD BWG_3290,Mannitol dehydrogenase family
C4ZXK1,secB BWG_3300,SecB family
C4ZXM8,rpmG BWG_3327,Bacterial ribosomal protein bL33 family
C4ZXM9,rpmB BWG_3328,Bacterial ribosomal protein bL28 family
C4ZXN0,yicR BWG_3329,"UPF0758 family, YicR subfamily"
C4ZXN9,ligB BWG_3338,"NAD-dependent DNA ligase family, LigB subfamily"
C4ZXQ4,nepI BWG_3353,"Major facilitator superfamily, DHA1 family, NepI (TC 2.A.1.2.26) subfamily"
C4ZXQ7,ade BWG_3356,"Metallo-dependent hydrolases superfamily, Adenine deaminase family"
C4ZXS1,nadA BWG_0602,"Quinolinate synthase family, Type 1 subfamily"
C4ZXT8,pgl BWG_0619,Cycloisomerase 2 family
C4ZXV5,moaC BWG_0636,MoaC family
C4ZXW7,ybhG BWG_0648,UPF0194 family
C4ZXX6,ybiX BWG_0657,
C4ZXX9,rlmF BWG_0660,"Methyltransferase superfamily, METTL16/RlmF family"
C4ZY19,ybjL BWG_0700,"AAE transporter (TC 2.A.81) family, YbjL subfamily"
C4ZY31,rlmC rumB BWG_0712,"Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family, RlmC subfamily"
C4ZY53,clpS BWG_0734,ClpS family
C4ZY54,clcB BWG_1406,"Chloride channel (TC 2.A.49) family, ClcB subfamily"
C4ZY59,asr BWG_1411,Asr family
C4ZY62,mdtI BWG_1414,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family, MdtI subfamily"
C4ZY63,mdtJ BWG_1415,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family, MdtJ subfamily"
C4ZY73,tus BWG_1425,Tus family
C4ZY90,rsxA BWG_1442,NqrDE/RnfAE family
C4ZY93,rsxD BWG_1445,NqrB/RnfD family
C4ZY95,rsxE BWG_1447,NqrDE/RnfAE family
C4ZYA5,slyA BWG_1457,SlyA family
C4ZYC7,mdtK BWG_1479,"Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family, MdtK subfamily"
C4ZYE1,sufE BWG_1493,SufE family
C4ZYH3,btuC BWG_1525,"Binding-protein-dependent transport system permease family, FecCD subfamily"
C4ZYH4,ihfA himA BWG_1526,Bacterial histone-like protein family
C4ZYH8,rplT BWG_1530,Bacterial ribosomal protein bL20 family
C4ZYH9,rpmI BWG_1531,Bacterial ribosomal protein bL35 family
C4ZYI0,infC BWG_1532,IF-3 family
C4ZYI6,acpS BWG_2327,"P-Pant transferase superfamily, AcpS family"
C4ZYJ8,yfiC BWG_2339,"Methyltransferase superfamily, tRNA (adenine-N(6)-)-methyltransferase family"
C4ZYK2,grcA BWG_2343,
C4ZYK3,ung BWG_2344,"Uracil-DNA glycosylase (UDG) superfamily, UNG family"
C4ZYM4,rplS BWG_2365,Bacterial ribosomal protein bL19 family
C4ZYM5,trmD BWG_2366,RNA methyltransferase TrmD family
C4ZYM6,rimM BWG_2367,RimM family
C4ZYM7,rpsP BWG_2368,Bacterial ribosomal protein bS16 family
C4ZYN1,grpE BWG_2372,GrpE family
C4ZYN7,smpB BWG_2378,SmpB family
C4ZYR1,glaH BWG_2402,Glutarate hydroxylase family
C4ZYT7,luxS BWG_2428,LuxS family
C4ZYT8,gshA BWG_2429,"Glutamate--cysteine ligase type 1 family, Type 1 subfamily"
C4ZYU1,csrA BWG_2432,CsrA/RsmA family
C4ZYU3,recX BWG_2434,RecX family
C4ZYV4,norR BWG_2445,
C4ZYV6,norW flrR BWG_2447,FAD-dependent oxidoreductase family
C4ZYW2,yidE BWG_3375,"AAE transporter (TC 2.A.81) family, YidE subfamily"
C4ZYW3,ibpB BWG_3376,Small heat shock protein (HSP20) family
C4ZYW4,ibpA BWG_3377,Small heat shock protein (HSP20) family
C4ZYX7,recF BWG_3390,RecF family
C4ZYY0,rpmH BWG_3393,Bacterial ribosomal protein bL34 family
C4ZYY1,rnpA BWG_3394,RnpA family
C4ZYY6,tnaA BWG_3399,Beta-eliminating lyase family
C4ZYY8,mdtL BWG_3401,"Major facilitator superfamily, DHA1 family, MdtL (TC 2.A.1.2.22) subfamily"
C4ZYY9,yidZ BWG_3402,LysR transcriptional regulatory family
C4ZZ09,atpC BWG_3422,ATPase epsilon chain family
C4ZZ11,atpG BWG_3424,ATPase gamma chain family
C4ZZ13,atpH BWG_3426,ATPase delta chain family
C4ZZ16,atpB BWG_3429,ATPase A chain family
C4ZZ18,rsmG BWG_3431,"Methyltransferase superfamily, RNA methyltransferase RsmG family"
C4ZZ19,mnmG gidA BWG_3432,MnmG family
C4ZZ22,asnA BWG_3435,"Class-II aminoacyl-tRNA synthetase family, AsnA subfamily"
C4ZZ24,ravA BWG_3437,RavA family
C4ZZ25,kup BWG_3438,HAK/KUP transporter (TC 2.A.72) family
C4ZZ35,hdfR BWG_3450,LysR transcriptional regulatory family
C4ZZ47,gppA BWG_3462,"GppA/Ppx family, GppA subfamily"
C4ZZ61,wzyE BWG_3476,WzyE family
C4ZZ62,wecG rffM BWG_3477,Glycosyltransferase 26 family
C4ZZ71,cyaY BWG_3486,Frataxin family
C4ZZA1,astB BWG_1558,Succinylarginine dihydrolase family
C4ZZA3,astA BWG_1560,Arginine N-succinyltransferase family
C4ZZG9,nudL BWG_1626,"Nudix hydrolase family, PCD1 subfamily"
C4ZZH7,mntP yebN BWG_1634,MntP (TC 9.B.29) family
C4ZZI2,mgrB BWG_1639,MgrB family
C4ZZI6,htpX BWG_1643,Peptidase M48B family
C4ZZI8,proQ BWG_1645,ProQ family
C4ZZN7,mutS BWG_2469,DNA mismatch repair MutS family
C4ZZQ1,ispD BWG_2483,"IspD/TarI cytidylyltransferase family, IspD subfamily"
C4ZZQ2,ftsB BWG_2484,FtsB family
C4ZZQ6,cysD BWG_2488,"PAPS reductase family, CysD subfamily"
C4ZZY0,lgt BWG_2563,Lgt family
C4ZZY2,rppH nudH BWG_2565,"Nudix hydrolase family, RppH subfamily"
C4ZZY4,mutH BWG_2567,MutH family
C4ZZY8,lplT BWG_2571,"Major facilitator superfamily, LplT (TC 2.A.1.42) family"
C5A033,engB BWG_3535,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, EngB GTPase family"
C5A034,yihI BWG_3536,YihI family
C5A059,fdhE BWG_3561,FdhE family
C5A063,fdhD BWG_3565,FdhD family
C5A073,rhaS BWG_3575,
C5A074,rhaR BWG_3576,
C5A075,rhaT BWG_3577,L-rhamnose transporter (TC 2.A.7.6) family
C5A077,kdgT BWG_3579,KdgT transporter family
C5A085,cdh BWG_3587,Cdh family
C5A095,zapB BWG_3597,ZapB family
C5A096,rraA BWG_3598,RraA family
C5A0A3,rpmE BWG_3605,"Bacterial ribosomal protein bL31 family, Type A subfamily"
C5A0A5,metJ BWG_3607,MetJ family
C5A0C2,ppc BWG_3624,PEPCase type 1 family
C5A0G3,prfB BWG_2616,Prokaryotic/mitochondrial release factor family
C5A0H0,ygfZ BWG_2623,TRNA-modifying YgfZ family
C5A0H2,yqfB BWG_2625,N(4)-acetylcytidine amidohydrolase family
C5A0H6,gcvH BWG_2629,GcvH family
C5A0H7,gcvT BWG_2630,GcvT family
C5A0I2,zapA BWG_2635,"ZapA family, Type 1 subfamily"
C5A0I6,argP iciA BWG_2639,LysR transcriptional regulatory family
C5A0K6,speB BWG_2659,"Arginase family, Agmatinase subfamily"
C5A0L3,sprT BWG_2666,SprT family
C5A0L8,yqgF BWG_2671,YqgF nuclease family
C5A0N1,yggX BWG_2684,Fe(2+)-trafficking protein family
C5A0Q9,argH BWG_3628,"Lyase 1 family, Argininosuccinate lyase subfamily"
C5A0R2,fabR BWG_3631,
C5A0R6,murI BWG_3635,Aspartate/glutamate racemases family
C5A0R9,coaA BWG_3638,Prokaryotic pantothenate kinase family
C5A0S3,rplK BWG_3642,Universal ribosomal protein uL11 family
C5A0S4,rplA BWG_3643,Universal ribosomal protein uL1 family
C5A0S5,rplJ BWG_3644,Universal ribosomal protein uL10 family
C5A0S6,rplL BWG_3645,Bacterial ribosomal protein bL12 family
C5A0T6,rsd BWG_3655,Rsd/AlgQ family
C5A0V8,pepE BWG_3677,Peptidase S51 family
C5A0W8,psiE BWG_3687,PsiE family
C5A132,ubiC BWG_3752,UbiC family
C5A133,ubiA BWG_3753,UbiA prenyltransferase family
C5A134,plsB BWG_3754,GPAT/DAPAT family
C5A160,actP BWG_3781,Sodium:solute symporter (SSF) (TC 2.A.21) family
C5A1C9,cutA BWG_3850,CutA family
C5A1D4,groES groS BWG_3855,GroES chaperonin family
C5A1D9,efp BWG_3860,Elongation factor P family
C5A1E5,frdD BWG_3866,FrdD family
C5A1E6,frdC BWG_3867,FrdC family
C5A1G1,mutL BWG_3882,DNA mismatch repair MutL/HexB family
D0VE85,clsA,"Phospholipase D family, Cardiolipin synthase subfamily, ClsA sub-subfamily"
D0VE86,fabD,FabD family
D0VE87,kdsA,KdsA family
D0VE88,plsB,GPAT/DAPAT family
D0VEW9,cdsA,CDS family
D0VEX1,fabB,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family"
D0VEX2,fabF,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family"
D0VEX3,fabG,Short-chain dehydrogenases/reductases (SDR) family
D0VEX7,gutQ,"SIS family, GutQ/KpsF subfamily"
D0VEY0,kdsD,"SIS family, GutQ/KpsF subfamily"
D0VEY4,pgpA,
D0VEY5,pgpB,
D0VEY6,pgsA,CDP-alcohol phosphatidyltransferase class-I family
D0VEY7,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase family
D0VEZ0,accA,AccA family
D0VEZ1,accC,
E2JKY7,mgtL b4702 JW4200.1,MgtL family
G1E6H3,pmrB,
G3MTW7,pmrR b4703 JW4072.1,
O32528,ypdI b2376 JW2373,
P03061,ivbL b3672 JW3647,
P03835,insG b4278 JW5767,Transposase 11 family
P03841,malM molA b4037 JW3997,
P06626,traJ ECOK12F072,
P06627,traY ECOK12F073,TraY family
P06965,dicC b1569 JW1561,
P07021,yfiB b2605 JW2586,Outer membrane OOP (TC 1.B.6) superfamily
P08245,yciH b1282 JW1274,SUI1 family
P08321,traL ECOK12F075,
P08322,traE ECOK12F076,TraE family
P08369,creD cet b4400 JW4363,
P08371,ppdB ygdC b2825 JW5451,
P08372,ppdC ygdA b2823 JW2791,
P08390,usg b2319 JW2316,Aspartate-semialdehyde dehydrogenase family
P09127,hemX b3803 JW3775,
P09129,traS ECOK12F100,
P09153,tfaE ycfA b1156 JW1142,Tfa family
P09162,yjaA b4011 JW3971,
P09557,dicB b1575 JW1566,
P0A6N8,yeiP b2171 JW5362,Elongation factor P family
P0A772,nrdI ygaO b2674 JW2649,NrdI family
P0A7C8,psiE yjbA b4030 JW3990,PsiE family
P0A8A0,yebC b1864 JW1853,TACO1 family
P0A8A2,yeeN b1983 JW1964,"TACO1 family, YeeN subfamily"
P0A8C1,ybjQ b0866 JW0850,UPF0145 family
P0A8C4,ygfB b2909 JW5473,UPF0149 family
P0A8D3,yaiI b0387 JW0378,UPF0178 family
P0A8D9,yfbV b2295 JW2292,UPF0208 family
P0A8E1,ycfP b1108 JW5158,UPF0227 family
P0A8J4,ybeD b0631 JW0626,UPF0250 family
P0A8K8,yihY b3886 JW3857,UPF0761 family
P0A8M6,yeeX b2007 JW1989,UPF0265 family
P0A8R7,ycjF b1322 JW1315,UPF0283 family
P0A8T5,fliE fla AI flaN b1937 JW1921,FliE family
P0A8U2,yafD b0209 JW5017,UPF0294 family
P0A8W5,yqgE b2948 JW2915,UPF0301 (AlgH) family
P0A8W8,yfbU b2294 JW2291,UPF0304 family
P0A8X2,yceI b1056 JW1043,"UPF0312 family, Type 1 subfamily"
P0A8X4,yccT b0964 JW0947,UPF0319 family
P0A8Z7,yqiA yzzI b3031 JW2999,
P0A905,slyB b1641 JW1633,Pcp/SlyB lipoprotein family
P0A976,cspF b1558 JW1550,
P0A978,cspG cspI b0990 JW0974,
P0A982,cspH cspK b0989 JW5134,
P0A986,cspI cspJ b1552 JW1544,
P0A9A2,ftnB yecI b1902 JW1890,"Ferritin family, Prokaryotic subfamily"
P0A9K1,phoH psiH b1020 JW1005,PhoH family
P0A9K3,ybeZ b0660 JW0657,PhoH family
P0A9R2,essD ybcR b0554 JW0543,Lambda phage S protein family
P0A9T6,ybaQ b0483 JW0472,VapA/VapI family
P0A9T8,ybbA b0495 JW0484,ABC transporter superfamily
P0A9U3,ybiT b0820 JW0804,"ABC transporter superfamily, ABCF family, YbiT subfamily"
P0A9U8,ydiO b1695 JW5275,Acyl-CoA dehydrogenase family
P0A9V5,yiaG b3555 JW3524,
P0A9W9,yrdA b3279 JW5710,Gamma-class carbonic anhydrase family
P0AA31,yedF b1930 JW1915,Sulfur carrier protein TusA family
P0AA49,yfdV b2372 JW2369,Auxin efflux carrier (TC 2.A.69) family
P0AA70,yedA b1959 JW1942,EamA transporter family
P0AA91,yeaY b1806 JW1795,
P0AAA1,yagU b0287 JW0281,
P0AAA3,ecpA matB yagZ b0293 JW0287,EcpA/MatB fimbrillin family
P0AAA5,ymcE sfa b0991 JW0975,
P0AAC4,ybhL b0786 JW0769,BI1 family
P0AAE5,ydgI b1605 JW1597,"Amino acid-polyamine-organocation (APC) superfamily, Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family"
P0AAK4,hydN b2713 JW2683,
P0AAL6,ydhY b1674 JW1664,
P0AAN1,hybE b2992 JW2960,HupJ family
P0AAP5,iprA yaiV b0375 JW0366,IprA family
P0AAP7,yaiY b0379 JW0370,
P0AAQ0,yaiZ b0380 JW5053,
P0AAQ2,yajD b0410 JW0400,HNH nuclease family
P0AAR5,ybaN b0468 JW0457,
P0AAR8,ybaV b0442 JW0432,
P0AAS0,ylaC b0458 JW5063,
P0AAS3,ybbJ b0488 JW5065,
P0AAU7,ybfE b0685 JW5816,
P0AAV0,ybgE b0735 JW0725,
P0AAW5,ybhQ b0791 JW0774,
P0AAX3,ybiJ b0802 JW0787,BhsA/McbA family
P0AAY1,bssR yliH b0836 JW0820,
P0AAZ0,ybjO b0858 JW0842,
P0AB06,ycbK b0926 JW0909,
P0AB12,yccF b0961 JW0944,
P0AB14,yccJ b1003 JW0988,
P0AB26,yceB b1063 JW1050,
P0AB35,ycfJ b1110 JW1096,
P0AB49,ychH b1205 JW1196,
P0AB52,ychN b1219 JW1210,
P0AB55,yciI b1251 JW1243,YciI family
P0ABR1,dinI b1061 JW1048,DinI family
P0ABY2,fliT b1926 JW1911,FliT family
P0ABY4,fldB b2895 JW2863,Flavodoxin family
P0AC73,ebgC b3077 JW3048,
P0ACG6,hokD relF b1562 JW1554,Hok/Gef family
P0ACH1,sfsB nlp sfs7 b3188 JW3155,Ner transcriptional regulatory family
P0ACI3,xylR b3569 JW3541,
P0ACL2,exuR b3094 JW3065,
P0ACM2,rspR ydfH b1540 JW1533,
P0ACM5,yegW b2101 JW2088,
P0ACM9,yihL b3872 JW3843,
P0ACN2,ytfH b4212 JW5747,
P0ACR2,ydhB b1659 JW1651,LysR transcriptional regulatory family
P0ACR4,yeiE b2157 JW2144,LysR transcriptional regulatory family
P0ACR7,yfeR b2409 JW2400,LysR transcriptional regulatory family
P0ACU7,yjdC cutA3 b4135 JW5733,
P0ACX0,ydgC b1607 JW1599,
P0ACX9,ydiE b1705 JW1695,
P0ACY3,yeaG b1783 JW1772,PrkA family
P0ACY6,yeaL b1789 JW1778,UPF0756 family
P0ACY9,yebG b1848 JW1837,
P0AD12,yeeZ b2016 JW1998,
P0AD17,yohC b2135 JW5356,
P0AD19,yohK b2142 JW2130,YohK (E.coli)/YwbG (IPA-22R) (B.subtilis) family
P0AD24,yejL b2187 JW2175,UPF0352 family
P0AD27,yejM yejN b2188 JW2176,
P0AD30,yfcA b2327 JW2324,4-toluene sulfonate uptake permease (TSUP) (TC 2.A.102) family
P0AD35,yfdO oweS b2358 JW2355,Phage O protein family
P0AD44,yfhG b2555 JW2539,
P0AD47,yphA b2543 JW2527,DoxX family
P0AD72,pheL pheAE b2598 JW2579,
